Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1961","1961","ha","12927000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1961","1961","kg/ha","850.7","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1961","1961","t","10997000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1962","1962","ha","13570000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1962","1962","kg/ha","889.6","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1962","1962","t","12072000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1963","1963","ha","13590000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1963","1963","kg/ha","792.9","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1963","1963","t","10776000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1964","1964","ha","13499000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1964","1964","kg/ha","729.9","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1964","1964","t","9853000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1965","1965","ha","13422000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1965","1965","kg/ha","913.2","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1965","1965","t","12257000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1966","1966","ha","12572000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1966","1966","kg/ha","826.8","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1966","1966","t","10394000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1967","1967","ha","12838000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1967","1967","kg/ha","887.4","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1967","1967","t","11393000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1968","1968","ha","14998200","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1968","1968","kg/ha","1102.8","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1968","1968","t","16540100","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1969","1969","ha","15958100","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1969","1969","kg/ha","1168.8","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1969","1969","t","18651600","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1970","1970","ha","16625500","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1970","1970","kg/ha","1208.6","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1970","1970","t","20093296","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1971","1971","ha","18240496","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1971","1971","kg/ha","1306.6","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1971","1971","t","23832496","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1972","1972","ha","19138896","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1972","1972","kg/ha","1379.9","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1972","1972","t","26409904","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1973","1973","ha","19463600","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1973","1973","kg/ha","1270.8","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1973","1973","t","24734608","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1974","1974","ha","18583008","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1974","1974","kg/ha","1171.9","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1974","1974","t","21778000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1975","1975","ha","18010304","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1975","1975","kg/ha","1338.4","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1975","1975","t","24104400","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1976","1976","ha","20453808","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1976","1976","kg/ha","1410.3","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1976","1976","t","28846304","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1977","1977","ha","20921504","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1977","1977","kg/ha","1386.6","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1977","1977","t","29009904","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1978","1978","ha","21455696","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1978","1978","kg/ha","1479.8","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1978","1978","t","31749200","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1979","1979","ha","22641200","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1979","1979","kg/ha","1568.3","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1979","1979","t","35507808","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1980","1980","ha","22171696","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1980","1980","kg/ha","1435.6","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1980","1980","t","31830000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1981","1981","ha","22278800","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1981","1981","kg/ha","1629.9","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1981","1981","t","36312608","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1982","1982","ha","22144400","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1982","1982","kg/ha","1691.3","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1982","1982","t","37451808","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1983","1983","ha","23567408","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1983","1983","kg/ha","1815.8","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1983","1983","t","42793904","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1984","1984","ha","24672000","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1984","1984","kg/ha","1843.2","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1984","1984","t","45476000","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1985","1985","ha","23564896","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1985","1985","kg/ha","1870.1","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1985","1985","t","44068800","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1986","1986","ha","22997408","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1986","1986","kg/ha","2046","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1986","1986","t","47051808","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1987","1987","ha","23131200","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1987","1987","kg/ha","1916.2","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1987","1987","t","44322896","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1988","1988","ha","23062704","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1988","1988","kg/ha","2001.9","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1988","1988","t","46169408","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1989","1989","ha","24109104","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1989","1989","kg/ha","2244.4","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1989","1989","t","54110208","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1990","1990","ha","23501904","A","Official value",""
"QCL","Crops and livestock products","356","India","5412","Yield","0111","Wheat","1990","1990","kg/ha","2121.1","A","Official value",""
"QCL","Crops and livestock products","356","India","5510","Production","0111","Wheat","1990","1990","t","49849504","A","Official value",""
"QCL","Crops and livestock products","356","India","5312","Area harvested","0111","Wheat","1991","1991","ha","24167104","A","Official value",""
